artist_count,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10
2.0,2175.0,144565150.0,69.0,69.0,143.0,83.0,69.0,44.0,15.0,0.0,10.0,33.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,4.0,6.0,2.0
1.0,2000.0,127567540.0,49.0,63.0,100.0,49.0,17.0,35.0,71.0,9.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0
1.0,2839.0,399686758.0,58.0,42.0,143.0,56.0,39.0,55.0,14.0,0.0,11.0,13.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,674.0,118482347.0,20.0,25.0,93.0,62.0,57.0,59.0,3.0,0.0,38.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,8448.0,882831184.0,160.0,163.0,206.0,43.0,50.0,55.0,50.0,0.0,15.0,10.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0
3.0,2110.0,286400165.0,17.0,19.0,88.0,68.0,17.0,71.0,15.0,0.0,11.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,2528.0,172825906.0,56.0,59.0,170.0,50.0,37.0,90.0,0.0,0.0,12.0,5.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,6.0
1.0,77.0,29562220.0,8.0,4.0,134.0,81.0,53.0,72.0,51.0,0.0,12.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,266.0,77309611.0,6.0,6.0,158.0,54.0,50.0,40.0,61.0,0.0,10.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,6.0
1.0,3423.0,1116995633.0,41.0,59.0,117.0,61.0,45.0,69.0,2.0,0.0,9.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,4.0,0.0,2.0
1.0,4198.0,838079900.0,98.0,327.0,114.0,77.0,65.0,72.0,2.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0,2.0,5.0
2.0,26792.0,1093605526.0,69.0,695.0,144.0,74.0,37.0,53.0,7.0,0.0,21.0,10.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,6.0,6.0
1.0,213.0,179659294.0,7.0,0.0,130.0,51.0,18.0,44.0,76.0,0.0,11.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,6.0,5.0
2.0,58.0,39058561.0,2.0,4.0,116.0,77.0,79.0,62.0,33.0,1.0,15.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,99.0,36912123.0,21.0,6.0,121.0,65.0,49.0,78.0,0.0,0.0,17.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,21164.0,1791000570.0,80.0,476.0,100.0,70.0,47.0,52.0,30.0,0.0,6.0,33.0,0.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,4.0,2.0
1.0,2988.0,201660859.0,74.0,145.0,150.0,55.0,30.0,78.0,24.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0
2.0,893.0,248088961.0,19.0,24.0,120.0,84.0,96.0,71.0,18.0,0.0,34.0,17.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
3.0,1094.0,90839753.0,40.0,47.0,127.0,82.0,89.0,85.0,4.0,0.0,23.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,6.0,9.0
1.0,7324.0,607123776.0,25.0,61.0,90.0,51.0,42.0,61.0,53.0,0.0,9.0,3.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,8.0,0.0
2.0,201.0,55842345.0,19.0,8.0,128.0,75.0,79.0,63.0,33.0,0.0,15.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,9.0
2.0,5120.0,211050784.0,161.0,246.0,143.0,64.0,31.0,87.0,4.0,4.0,8.0,4.0,0.0,1.0,1.0,0.0,2.0,5.0,4.0,6.0,1.0,6.0
1.0,2346.0,342897938.0,69.0,38.0,139.0,74.0,68.0,68.0,3.0,0.0,26.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,9.0
2.0,763.0,2762.0,21.0,21.0,162.0,49.0,78.0,64.0,19.0,0.0,11.0,4.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,8.0,7.0
1.0,457.0,330346424.0,8.0,4.0,92.0,81.0,39.0,60.0,31.0,0.0,7.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,3430.0,601863821.0,45.0,52.0,95.0,87.0,57.0,55.0,10.0,0.0,29.0,7.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,6.0,6.0
2.0,871.0,66902503.0,25.0,32.0,128.0,78.0,59.0,65.0,10.0,0.0,26.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,451.0,96273746.0,10.0,7.0,130.0,82.0,69.0,83.0,3.0,0.0,27.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,1783.0,430977451.0,26.0,15.0,127.0,80.0,74.0,77.0,36.0,0.0,11.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,9389.0,284819874.0,24.0,282.0,150.0,42.0,20.0,86.0,21.0,0.0,9.0,9.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,0.0,7.0,7.0
2.0,5724.0,721975598.0,119.0,254.0,122.0,78.0,50.0,63.0,27.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0
1.0,13985.0,1217120710.0,30.0,588.0,140.0,52.0,20.0,85.0,0.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,4.0,5.0
4.0,1051.0,109276132.0,31.0,31.0,140.0,63.0,22.0,54.0,46.0,0.0,12.0,8.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,7.0,7.0
